date,gdp_usd_bn
2014-01-01,17608.138
2015-01-01,18295.019
2016-01-01,18804.913
2017-01-01,19612.102
2018-01-01,20656.516
2019-01-01,21539.982
2020-01-01,21375.281
2021-01-01,23725.645
2022-01-01,26054.614
2023-01-01,27811.517
2024-01-01,29298.013
